time          total        used        free      shared  buff/cache   available
Mem:        3935120        1817     3732282           1      201019     3916383
Mem:        3935120        1817     3732283           1      201019     3916384
Mem:        3935120        1818     3732282           1      201019     3916383
Mem:        3935120        1817     3732283           1      201019     3916384
Mem:        3935120        1818     3732282           1      201019     3916383
Mem:        3935120        1817     3732283           1      201019     3916384
Mem:        3935120        1816     3732283           1      201019     3916384
Mem:        3935120        1818     3732282           1      201019     3916383
Mem:        3935120        1816     3732284           1      201019     3916385
Mem:        3935120        1818     3732282           1      201019     3916384
Mem:        3935120        1815     3732285           1      201019     3916387
Mem:        3935120        1816     3732284           1      201019     3916386
Mem:        3935120        1816     3732284           1      201019     3916386
Mem:        3935120        1815     3732284           1      201019     3916386
Mem:        3935120        1815     3732285           1      201019     3916387
Mem:        3935120        1813     3732287           1      201019     3916388
Mem:        3935120        1812     3732288           1      201019     3916389
Mem:        3935120        1814     3732286           1      201019     3916388
Mem:        3935120        1812     3732288           1      201019     3916389
Mem:        3935120        1812     3732287           1      201019     3916389
Mem:        3935120        1813     3732286           1      201019     3916388
Mem:        3935120        1811     3732288           1      201019     3916390
Mem:        3935120        1812     3732288           1      201019     3916389
Mem:        3935120        1811     3732289           1      201019     3916391
Mem:        3935120        1811     3732288           1      201019     3916390
Mem:        3935120        1811     3732289           1      201019     3916390
Mem:        3935120        1810     3732290           1      201019     3916391
Mem:        3935120        1811     3732288           1      201019     3916390
Mem:        3935120        1811     3732289           1      201019     3916391
Mem:        3935120        1810     3732290           1      201019     3916392
Mem:        3935120        1840     3732260           1      201019     3916362
Mem:        3935120        1840     3732259           1      201019     3916361
Mem:        3935120        1893     3732206           1      201019     3916308
Mem:        3935120        1925     3732170           1      201024     3916274
Mem:        3935120        1924     3732171           1      201024     3916275
Mem:        3935120        1923     3732172           1      201024     3916276
Mem:        3935120        1923     3732172           1      201024     3916276
Mem:        3935120        1922     3732172           1      201024     3916277
Mem:        3935120        1924     3732171           1      201024     3916275
Mem:        3935120        1924     3732171           1      201024     3916275
Mem:        3935120        1923     3732172           1      201024     3916276
Mem:        3935120        1924     3732170           1      201024     3916275
Mem:        3935120        1923     3732172           1      201024     3916276
Mem:        3935120        1924     3732171           1      201024     3916275
Mem:        3935120        1924     3732171           1      201024     3916275
Mem:        3935120        1924     3732171           1      201024     3916275
Mem:        3935120        1923     3732172           1      201024     3916276
Mem:        3935120        1925     3732170           1      201024     3916274
Mem:        3935120        1923     3732171           1      201024     3916276
Mem:        3935120        1924     3732171           1      201024     3916275
Mem:        3935120        1923     3732172           1      201024     3916276
Mem:        3935120        1922     3732172           1      201024     3916277
Mem:        3935120        1923     3732172           1      201024     3916276
Mem:        3935120        1922     3732172           1      201024     3916277
Mem:        3935120        1921     3732173           1      201024     3916278
Mem:        3935120        1921     3732174           1      201024     3916279
Mem:        3935120        1921     3732174           1      201024     3916278
Mem:        3935120        1921     3732173           1      201024     3916278
Mem:        3935120        1802     3732292           1      201024     3916397
Mem:        3935120        1802     3732293           1      201024     3916397
Mem:        3935120        1795     3732305           1      201020     3916406
Mem:        3935120        1764     3732336           1      201019     3916437
Mem:        3935120        1764     3732336           1      201019     3916437
Mem:        3935120        1762     3732338           1      201019     3916439
Mem:        3935120        1763     3732337           1      201019     3916438
Mem:        3935120        1841     3732258           1      201020     3916360
Mem:        3935120        1806     3732292           1      201021     3916394
Mem:        3935120        1804     3732294           1      201021     3916396
Mem:        3935120        1805     3732293           1      201021     3916395
Mem:        3935120        1804     3732294           1      201021     3916396
Mem:        3935120        1807     3732291           1      201021     3916393
Mem:        3935120        1806     3732291           1      201021     3916394
Mem:        3935120        1806     3732292           1      201021     3916394
Mem:        3935120        1808     3732290           1      201021     3916392
Mem:        3935120        1806     3732292           1      201021     3916394
Mem:        3935120        1806     3732291           1      201021     3916393
Mem:        3935120        1808     3732290           1      201021     3916392
Mem:        3935120        1835     3732262           1      201022     3916365
Mem:        3935120        1835     3732262           1      201022     3916364
Mem:        3935120        1836     3732262           1      201022     3916364
Mem:        3935120        1836     3732262           1      201022     3916364
Mem:        3935120        1835     3732262           1      201022     3916365
Mem:        3935120        1834     3732263           1      201022     3916366
Mem:        3935120        1835     3732263           1      201022     3916365
Mem:        3935120        1850     3732247           1      201022     3916349
Mem:        3935120        1902     3732191           1      201026     3916296
Mem:        3935120        1940     3732153           1      201026     3916257
Mem:        3935120        2048     3732045           1      201026     3916150
Mem:        3935120        2194     3731899           1      201026     3916003
Mem:        3935120        2252     3731841           1      201026     3915946
Mem:        3935120        2252     3731841           1      201026     3915946
Mem:        3935120        2252     3731841           1      201026     3915946
Mem:        3935120        2252     3731841           1      201026     3915945
Mem:        3935120        2252     3731840           1      201026     3915945
